subsystem,vendor_under_eval,quarter,risk_status,risk_description,allocated_budget_usd,expenditure_usd,program_manager_note
Propulsion,Apex Defense Systems,Q1 FY2024,Green,No issues identified. Integration testing on schedule.,1200000,340000,First article delivery confirmed for Q2.
Propulsion,Apex Defense Systems,Q2 FY2024,Yellow,Minor supplier delay on turbine seals. 3-week slip projected.,1200000,780000,Vendor submitted corrective action plan on 2024-04-18.
Propulsion,Apex Defense Systems,Q3 FY2024,Yellow,Slip persists. Corrective action plan partially effective. Watching closely.,1200000,1050000,If not resolved by Q4 will escalate to Red.
Propulsion,Apex Defense Systems,Q4 FY2024,Red,Turbine seal issue unresolved. Schedule impact to system integration test.,1200000,1190000,PM directed 30-day cure notice issued 2024-11-02.
Navigation,Meridian Technologies,Q1 FY2024,Green,Baseline established. No risks identified at this time.,950000,210000,Kickoff review completed satisfactorily.
Navigation,Meridian Technologies,Q2 FY2024,Green,On track. Software delivery milestone met.,950000,490000,V&V planning underway.
Navigation,Meridian Technologies,Q3 FY2024,Yellow,Integration anomaly detected during lab testing. Root cause under investigation.,950000,720000,Vendor briefed program office 2024-08-15. Awaiting formal RCA.
Navigation,Meridian Technologies,Q4 FY2024,Yellow,Root cause identified as firmware timing conflict. Patch in development.,950000,910000,Patch delivery expected Q1 FY2025.
Communications,Consolidated Systems Inc.,Q1 FY2024,Green,Preliminary design review passed without major findings.,800000,150000,Next milestone: critical design review Q3.
Communications,Consolidated Systems Inc.,Q2 FY2024,Green,CDR prep on schedule. No open risks.,800000,390000,CDR scheduled 2024-07-22.
Communications,Consolidated Systems Inc.,Q3 FY2024,Green,CDR completed. Two minor findings closed within 30 days.,800000,610000,Build-to-print drawings released.
Communications,Consolidated Systems Inc.,Q4 FY2024,Green,Hardware fabrication complete. No cost or schedule concerns.,800000,795000,Delivery for integration testing confirmed Q1 FY2025.
Power Distribution,Apex Defense Systems,Q1 FY2024,Yellow,Subcontractor for capacitor bank has single-source risk.,600000,120000,Approved waiver pending. Alternative source identified but not yet qualified.
Power Distribution,Apex Defense Systems,Q2 FY2024,Yellow,Single-source waiver approved. Alternative qualification in progress.,600000,280000,Qualification testing expected Q4 FY2024.
Power Distribution,Apex Defense Systems,Q3 FY2024,Green,Alternative capacitor source qualified. Single-source risk retired.,600000,430000,Risk closed this quarter.
Power Distribution,Apex Defense Systems,Q4 FY2024,Green,No open risks. Integration with propulsion subsystem on track.,600000,590000,Coordinating with propulsion team on interface testing.
