paper_id,filename,title,authors,year,intervention_type,population,sample_size,caffeine_dose_mg_per_kg,exercise_type,primary_outcome_measure,primary_outcome_result,key_finding,notes
paper_01,paper_01_chen_2019.pdf,Effects of caffeine and sex on muscle performance and DOMS after exercise-induced muscle damage,Chen et al.,2019,caffeine+exercise,Elite college athletes (10M 10F),20,6,Downhill running + knee extensions (MVIC),MVIC restoration and DOMS reduction,"MVIC restored 10.2%; DOMS reduced 13% overall",Males showed 21.5% DOMS reduction vs 4.6% in females — first study showing sex difference in caffeine ergogenic effect under EIMD,Double-blind RCT; participants were non-habitual caffeine users (<200 mg/wk)
paper_02,paper_02_filip_stachnik_2020.pdf,Placebo Effect of Caffeine on Maximal Strength and Strength Endurance in Healthy Recreationally Trained Women Habituated to Caffeine,Filip-Stachnik et al.,2020,caffeine+exercise,Recreationally trained women habituated to caffeine,13,0 (deceptive placebo told as 6 mg/kg),Bench press (1RM + strength endurance),1RM and repetitions to failure,"1RM: 40.0 vs 41.0 kg (p=0.10); reps: 32.2 vs 31.8 (p=0.66) — no effect",No placebo effect in habitual caffeine users; belief that caffeine was ingested did not improve performance,Deceptive crossover design; habitual intake 4.1 mg/kg/day; null result paper — important for trap questions
paper_03,paper_03_giraldez_2020.pdf,Caffeine Increases Muscle Performance During a Bench Press Training Session,Giráldez-Costas et al.,2020,caffeine+exercise,"Young healthy participants (9M, 3F); low caffeine consumers",12,3,Bench press velocity-based training (4x8 at 70% 1RM),Mean bar velocity and power output,"Mean velocity +7.8% (p=0.002); mean power +10.1% (p=0.003); total work significantly higher",3 mg/kg caffeine improved muscle performance consistently across all 4 sets of a training session,First study to examine caffeine during a simulated velocity-based workout rather than a test protocol; effect present in 30/32 repetitions
paper_04,paper_04_berglund_1982.pdf,Effects of Caffeine Ingestion on Exercise Performance at Low and High Altitudes in Cross-Country Skiers,Berglund & Hemmingsson,1982,caffeine+exercise,Competitive cross-country skiers,14,6,Cross-country skiing (~21 km race),Race time,"Low altitude: -1.7% (not sig); High altitude: -3.18% (P<0.001)",Caffeine effect was significantly greater at high altitude (2900m) than at sea level,Oldest paper in corpus (1982); unique altitude variable; double-blind; ~80% of subjects could distinguish caffeine from placebo
paper_05,paper_05_bond_1986.pdf,Caffeine Ingestion and Isokinetic Strength,Bond et al.,1986,caffeine+exercise,Male intercollegiate track sprinters; non-caffeine users,12,5,Isokinetic knee extension/flexion (Cybex; 30/150/300 deg/s),Peak torque and power at varying speeds,No significant effect on peak torque or power at any speed,Low dose caffeine (5 mg/kg) showed no ergogenic effect on isokinetic strength under anaerobic conditions,Null result; one of earliest in vivo caffeine + dynamic strength studies; note: dose may have been too low
paper_06,paper_06_graham_1991.pdf,Performance and Metabolic Responses to a High Caffeine Dose During Prolonged Exercise,Graham & Spriet,1991,caffeine+exercise,Well-trained competitive runners,7,9,Running and cycling to exhaustion at ~85% VO2max,Time to exhaustion,"Running: 49.2 to 71.0 min (+44%); Cycling: 39.2 to 59.3 min (+51%); both P<0.05",High dose caffeine dramatically increased endurance time in both running and cycling; urinary caffeine remained below IOC limit,9 mg/kg dose is very high; elevated plasma epinephrine twofold; no change in RER or FFA; glycogen-sparing mechanism unclear
paper_07,paper_07_wylie_2013.pdf,Dietary Nitrate Supplementation Improves Team Sport-Specific Intense Intermittent Exercise Performance,Wylie et al.,2013,nitrate+exercise,Male recreational team-sport players,14,N/A (nitrate intervention — not caffeine),Yo-Yo intermittent recovery test level 1 (IR1),Distance covered in Yo-Yo IR1,4.2% improvement with beetroot juice vs placebo (1704 vs 1636 m; P<0.05),Dietary nitrate (beetroot juice) improved intermittent exercise performance; lower blood glucose and trend for reduced plasma K+ with nitrate,NOT a caffeine paper — intervention is dietary nitrate via beetroot juice; included as contrast/comparison; useful for trap questions about caffeine and team sport
paper_08,paper_08_desbrow_2012.pdf,The Effects of Different Doses of Caffeine on Endurance Cycling Time Trial Performance,Desbrow et al.,2012,caffeine+exercise,Well-trained male cyclists,16,"3 mg/kg (low) and 6 mg/kg (high), vs placebo",1-hour cycling time trial (75% peak power output),Time trial completion time,"3 mg/kg: 4.2% faster (P<0.05); 6 mg/kg: 2.9% faster (P<0.05); no significant difference between doses",Both caffeine doses improved cycling performance; doubling the dose did not improve performance further; 3 mg/kg appears optimal,Double-blind crossover; 56% of participants performed best on 3 mg/kg; dose-response finding challenges assumption that more caffeine = better
paper_09,paper_09_knols_2005.pdf,Physical Exercise in Cancer Patients During and After Medical Treatment: A Systematic Review of Randomized and Controlled Clinical Trials,Knols et al.,2005,exercise_only,Cancer patients during and after medical treatment,1844 (across 34 trials),N/A,Various (walking / cycling / resistance),Physical functioning and health-related quality of life,Positive results observed across diverse outcomes in most trials,Exercise benefits cancer patients during and after treatment across physical and psychosocial outcomes,Systematic review — no caffeine; exercise-only; included as contrast paper; very different population from core corpus
paper_10,paper_10_stern_2019.pdf,Effect of Aerobic Exercise on Cognition in Younger Adults: A Randomized Clinical Trial,Stern et al.,2019,exercise_only,Cognitively normal sedentary adults aged 20-67,132,N/A,Aerobic exercise 4x/week for 6 months vs stretching/toning,Executive function (primary) and other cognitive domains,"EF improved +0.228 SD at age 40; +0.596 SD at age 60 (P=0.028); effect moderated by age",Aerobic exercise improved executive function in younger adults; effect larger in older participants; increased cortical thickness in left frontal region,No caffeine; exercise-only; included as contrast paper; cognitive outcome focus distinguishes it from all other papers
